attendance,internal_marks,behavior_score,study_hours,final_result,risk_level
68,67,2,2.3,0,High
57,84,9,4.3,0,High
65,97,5,5.0,0,Medium
83,30,9,1.8,0,High
73,36,5,4.7,0,High
49,86,7,4.9,0,High
75,41,6,1.9,0,High
53,34,2,0.7,0,High
70,79,3,1.6,0,Medium
87,71,5,1.6,1,Low
54,41,4,0.9,0,High
47,47,6,4.5,0,High
53,95,8,2.6,0,High
62,46,8,5.4,0,Medium
99,97,3,1.9,0,Low
96,91,4,3.0,1,Low
79,70,1,4.0,0,High
60,63,2,5.3,0,High
55,99,9,3.4,0,High
84,74,2,2.6,0,High
57,87,6,5.3,0,High
86,80,7,2.2,1,Low
92,63,6,0.9,1,Low
63,73,8,2.9,0,Medium
65,44,9,4.8,0,High
64,99,8,0.7,0,Medium
99,79,5,3.7,1,Low
99,61,8,3.8,1,Low
99,96,9,5.6,1,Low
84,32,8,2.1,0,High
80,80,2,2.0,0,High
68,96,2,2.9,0,High
54,77,3,2.5,0,High
84,46,7,4.5,0,Medium
40,36,9,4.0,0,High
64,42,8,4.7,0,High
46,95,9,5.0,0,High
48,33,6,5.6,0,High
63,39,1,2.9,0,High
40,46,4,5.9,0,High
83,81,6,1.7,1,Low
47,35,6,4.4,0,High
63,98,8,3.4,0,Medium
50,38,1,5.0,0,High
90,50,2,3.1,0,High
56,53,2,4.8,0,High
47,33,6,5.6,0,High
74,53,7,4.5,0,Medium
74,88,2,4.8,0,High
72,32,5,0.9,0,High
98,97,6,1.6,1,Low
44,69,4,5.9,0,High
81,77,1,4.3,0,High
78,83,3,3.6,0,Low
97,64,9,2.5,1,Low
80,85,6,0.7,1,Low
67,69,2,2.5,0,High
46,97,9,3.2,0,High
48,75,4,1.7,0,High
47,42,8,1.5,0,High
51,56,7,3.3,0,High
73,35,3,3.7,0,High
72,46,8,1.8,0,Medium
87,65,4,3.7,1,Low
94,31,2,5.5,0,High
62,81,5,3.1,0,Medium
63,95,1,5.2,0,High
76,81,8,5.6,1,Low
74,72,8,1.0,1,Medium
83,51,3,1.0,0,Medium
79,84,1,3.1,0,High
61,96,4,3.7,0,Medium
66,89,9,2.8,0,Medium
74,87,9,2.3,1,Medium
40,41,1,4.0,0,High
74,98,7,0.5,1,Medium
76,68,6,5.8,1,Low
86,42,7,1.8,0,High
53,70,7,5.5,0,High
42,86,8,1.1,0,High
40,82,8,1.8,0,High
44,41,2,1.8,0,High
65,42,4,6.0,0,High
94,86,4,0.5,1,Low
53,69,8,4.0,0,High
78,74,3,5.3,0,Low
66,64,3,4.2,0,Medium
48,32,2,2.5,0,High
54,34,1,5.8,0,High
54,40,8,5.4,0,High
65,85,9,2.9,0,Medium
81,39,9,3.7,0,High
99,63,8,5.8,1,Low
52,96,5,5.9,0,High
90,60,1,3.0,0,High
71,95,9,5.2,1,Medium
78,99,6,2.2,1,Low
88,70,7,2.5,1,Low
91,92,8,1.4,1,Low
71,61,5,1.7,1,Medium
43,49,6,4.1,0,High
69,86,7,3.3,0,Medium
76,79,7,1.8,1,Low
62,54,2,2.7,0,High
78,41,1,2.6,0,High
84,68,8,5.9,1,Low
54,46,5,5.2,0,High
82,74,2,2.6,0,High
68,40,3,5.5,0,High
75,99,6,2.4,1,Low
52,52,6,4.2,0,High
71,99,8,5.8,1,Medium
46,67,5,2.6,0,High
98,31,5,4.2,0,High
90,66,7,2.1,1,Low
61,78,5,2.0,0,Medium
67,81,9,3.7,0,Medium
41,62,6,5.9,0,High
81,51,7,3.0,0,Medium
84,34,8,5.7,0,High
96,47,5,5.5,0,Medium
92,67,4,1.9,1,Low
45,66,8,2.7,0,High
67,93,9,4.0,0,Medium
67,39,1,3.3,0,High
83,71,3,1.0,0,Low
83,77,4,6.0,1,Low
59,73,7,4.6,0,High
69,45,6,2.9,0,Medium
50,83,1,3.9,0,High
97,64,4,1.0,1,Low
94,57,6,3.2,1,Medium
67,31,3,5.6,0,High
64,42,2,5.4,0,High
78,70,2,2.4,0,High
72,88,4,3.4,1,Medium
40,98,1,4.3,0,High
96,82,2,2.4,0,High
66,74,2,0.9,0,High
96,49,4,3.3,0,Medium
91,53,4,3.8,0,Medium
52,90,1,0.5,0,High
80,87,7,1.0,1,Low
42,56,7,1.6,0,High
78,55,1,2.4,0,High
45,36,8,3.5,0,High
47,71,7,2.1,0,High
66,76,7,2.0,0,Medium
48,82,6,5.3,0,High
76,88,4,1.3,1,Low
72,67,8,3.2,1,Medium
90,98,2,5.7,0,High
81,82,7,3.9,1,Low
83,44,3,4.4,0,High
63,55,3,2.9,0,Medium
54,77,7,0.6,0,High
98,48,3,4.1,0,Medium
93,38,5,4.0,0,High
71,93,8,1.1,1,Medium
71,83,4,3.0,1,Medium
63,80,7,5.5,0,Medium
80,68,7,1.6,1,Low
91,33,2,3.0,0,High
88,32,8,3.0,0,High
88,93,9,5.0,1,Low
97,58,6,5.0,1,Medium
91,40,5,4.7,0,High
51,87,1,2.5,0,High
78,56,1,0.9,0,High
41,50,9,2.4,0,High
42,68,4,4.2,0,High
88,75,1,4.4,0,High
76,95,3,5.8,0,Low
88,65,6,3.0,1,Low
95,94,8,4.0,1,Low
56,92,2,3.5,0,High
98,64,8,1.3,1,Low
88,60,1,3.0,0,High
41,57,2,3.5,0,High
41,30,8,5.7,0,High
67,54,7,2.5,0,Medium
93,72,5,5.9,1,Low
62,96,2,3.5,0,High
76,92,9,1.8,1,Low
71,80,5,1.6,1,Medium
72,31,8,1.3,0,High
40,93,4,3.0,0,High
58,98,9,0.6,0,High
41,38,7,2.9,0,High
92,31,2,5.9,0,High
83,63,3,4.2,0,Low
65,89,2,4.7,0,High
71,90,5,1.2,1,Medium
45,60,2,3.1,0,High
71,39,5,2.1,0,High
94,65,9,5.4,1,Low
43,78,2,1.5,0,High
94,99,9,3.0,1,Low
50,78,7,3.7,0,High
95,32,7,3.3,0,High
98,34,5,5.1,0,High
56,90,8,1.8,0,High
77,55,7,2.6,1,Medium
63,34,6,4.9,0,High
44,44,2,3.4,0,High
91,45,6,2.7,0,Medium
73,30,2,0.7,0,High
45,45,1,4.6,0,High
61,66,9,5.8,0,Medium
50,32,5,3.9,0,High
87,81,4,5.2,1,Low
55,76,8,3.3,0,High
72,42,5,1.8,0,High
48,84,7,0.6,0,High
99,50,3,4.1,0,Medium
98,95,8,3.2,1,Low
45,83,8,4.8,0,High
55,56,3,4.3,0,High
68,67,9,5.9,0,Medium
42,87,8,3.3,0,High
59,91,1,2.8,0,High
99,75,8,2.1,1,Low
98,40,4,3.1,0,High
75,37,6,5.3,0,High
58,93,9,0.7,0,High
65,50,5,5.9,0,Medium
42,92,7,6.0,0,High
58,93,1,3.8,0,High
59,49,9,2.3,0,High
71,37,6,1.7,0,High
46,87,4,2.0,0,High
91,75,6,0.8,1,Low
80,60,5,3.1,1,Low
72,38,3,0.8,0,High
79,44,7,4.5,0,High
78,55,3,2.5,0,Medium
57,39,2,1.6,0,High
79,58,4,3.5,1,Medium
40,65,7,5.9,0,High
50,66,5,4.3,0,High
67,52,9,3.2,0,Medium
96,70,7,4.8,1,Low
64,57,9,4.6,0,Medium
89,77,9,5.4,1,Low
62,67,2,1.6,0,High
70,60,1,5.2,0,High
69,43,4,2.2,0,High
81,58,4,5.7,1,Medium
74,80,2,2.0,0,High
46,78,3,5.6,0,High
99,72,3,5.8,0,Low
55,34,5,1.3,0,High
65,71,1,5.9,0,High
87,36,9,1.0,0,High
96,71,8,1.7,1,Low
91,65,8,2.9,1,Low
99,56,3,6.0,0,Medium
88,87,2,3.2,0,High
41,75,1,3.5,0,High
40,95,6,4.3,0,High
87,54,1,5.8,0,High
51,56,5,4.8,0,High
44,30,9,1.7,0,High
76,71,9,2.2,1,Low
71,81,4,1.0,1,Medium
98,54,7,4.0,0,Medium
94,83,7,1.5,1,Low
48,96,4,1.9,0,High
80,35,5,5.4,0,High
74,87,9,2.3,1,Medium
58,99,7,3.6,0,High
87,82,7,2.7,1,Low
55,95,7,0.9,0,High
42,87,9,2.5,0,High
59,31,5,2.7,0,High
63,51,6,5.4,0,Medium
93,66,3,2.3,0,Low
95,49,1,2.6,0,High
72,53,2,4.8,0,High
63,94,8,4.7,0,Medium
91,94,1,4.9,0,High
50,30,7,5.7,0,High
88,32,5,4.9,0,High
47,75,6,2.7,0,High
75,84,8,5.0,1,Low
77,93,4,3.3,1,Low
79,74,6,2.0,1,Low
59,55,3,2.2,0,High
74,94,7,1.7,1,Medium
87,53,2,1.3,0,High
64,64,8,1.5,0,Medium
74,53,7,0.8,0,Medium
64,57,8,5.4,0,Medium
68,45,2,5.6,0,High
57,88,3,3.7,0,High
85,83,4,5.1,1,Low
57,45,9,1.5,0,High
41,44,5,5.5,0,High
93,40,6,3.3,0,High
74,94,1,0.9,0,High
55,97,4,1.3,0,High
80,72,4,2.2,1,Low
75,98,8,0.7,1,Low
72,42,8,2.2,0,High
43,39,6,0.8,0,High
72,70,8,1.8,1,Medium
53,79,9,2.0,0,High
60,88,5,6.0,0,Medium
87,68,1,1.8,0,High
59,32,1,1.8,0,High
95,36,2,4.3,0,High
47,78,2,5.2,0,High
46,55,5,2.6,0,High
42,62,7,5.3,0,High
56,77,7,2.4,0,High
72,31,4,1.6,0,High
87,61,4,2.3,1,Low
51,33,3,3.9,0,High
98,49,2,2.5,0,High
90,65,3,4.2,0,Low
61,61,8,1.8,0,Medium
94,57,1,4.4,0,High
61,30,4,2.4,0,High
85,89,7,3.0,1,Low
69,85,5,3.6,0,Medium
77,64,2,4.3,0,High
77,59,1,1.8,0,High
84,83,6,5.1,1,Low
90,65,5,4.5,1,Low
93,84,3,1.8,0,Low
47,87,9,5.9,0,High
66,94,3,4.2,0,Medium
66,98,2,3.0,0,High
73,80,5,1.4,1,Medium
60,51,9,3.4,0,Medium
69,82,8,1.4,0,Medium
72,65,6,2.9,1,Medium
67,97,3,2.7,0,Medium
86,65,6,4.5,1,Low
72,81,5,1.6,1,Medium
44,82,1,5.0,0,High
99,79,5,2.3,1,Low
87,70,7,2.9,1,Low
58,47,9,4.7,0,High
43,51,1,3.9,0,High
74,95,3,2.2,0,Medium
88,50,8,2.6,0,Medium
56,73,6,2.2,0,High
83,76,5,3.8,1,Low
67,68,2,2.3,0,High
69,58,3,4.5,0,Medium
68,83,2,3.7,0,High
85,46,1,1.3,0,High
92,89,7,2.2,1,Low
45,60,3,1.7,0,High
74,78,7,2.6,1,Medium
99,31,7,3.3,0,High
80,77,8,3.3,1,Low
76,43,1,4.6,0,High
63,88,5,1.5,0,Medium
68,87,9,5.7,0,Medium
88,87,7,2.4,1,Low
85,80,1,2.2,0,High
92,31,8,4.3,0,High
70,70,3,4.9,0,Medium
74,45,4,2.6,0,Medium
99,33,4,4.6,0,High
72,41,8,5.4,0,High
91,58,1,4.7,0,High
60,36,8,0.7,0,High
71,43,9,5.1,0,High
62,41,9,4.8,0,High
72,34,5,4.2,0,High
42,61,4,4.7,0,High
57,72,4,5.9,0,High
64,98,9,2.9,0,Medium
81,74,8,0.9,1,Low
70,38,7,3.0,0,High
93,78,3,0.8,0,Low
97,62,4,2.1,1,Low
42,47,9,3.7,0,High
79,38,8,2.2,0,High
85,91,1,4.3,0,High
63,86,3,5.0,0,Medium
89,58,2,2.8,0,High
71,54,2,5.5,0,High
86,44,8,0.9,0,High
61,35,6,5.1,0,High
62,71,6,5.1,0,Medium
41,58,4,2.3,0,High
66,33,1,2.1,0,High
81,86,7,2.2,1,Low
41,78,8,5.0,0,High
65,73,2,5.1,0,High
56,43,2,2.3,0,High
79,32,1,3.8,0,High
72,91,4,1.3,1,Medium
48,93,6,3.1,0,High
82,74,5,6.0,1,Low
93,87,4,1.4,1,Low
87,49,4,5.7,0,Medium
78,87,7,5.0,1,Low
68,86,7,5.8,0,Medium
81,97,2,1.5,0,High
94,81,7,1.7,1,Low
65,66,2,0.6,0,High
74,37,4,4.5,0,High
89,73,1,4.0,0,High
64,34,5,1.5,0,High
63,98,1,4.9,0,High
52,60,4,2.1,0,High
99,74,9,1.2,1,Low
97,38,8,2.8,0,High
46,61,6,1.0,0,High
96,62,8,1.9,1,Low
75,96,5,2.5,1,Low
84,59,7,5.2,1,Medium
59,58,8,4.9,0,High
40,32,7,2.9,0,High
47,86,4,4.5,0,High
85,59,5,3.6,1,Medium
55,38,6,2.4,0,High
53,55,6,4.5,0,High
51,31,9,4.3,0,High
90,91,2,3.9,0,High
62,32,6,3.9,0,High
54,75,3,4.3,0,High
67,97,2,2.6,0,High
73,54,6,5.3,0,Medium
41,80,4,1.4,0,High
71,42,5,5.4,0,High
62,73,5,2.4,0,Medium
61,64,3,1.2,0,Medium
90,84,4,3.8,1,Low
64,38,3,2.6,0,High
97,31,7,5.0,0,High
61,90,1,2.9,0,High
97,70,6,4.2,1,Low
97,73,4,2.2,1,Low
61,93,1,1.7,0,High
88,60,1,2.6,0,High
91,76,5,3.8,1,Low
81,31,5,4.1,0,High
45,98,7,3.7,0,High
54,87,4,5.9,0,High
93,73,9,4.3,1,Low
82,85,4,5.6,1,Low
99,72,7,1.1,1,Low
76,63,5,0.8,1,Low
72,59,5,2.2,1,Medium
47,99,6,1.3,0,High
92,84,8,3.4,1,Low
99,96,5,3.4,1,Low
83,42,3,3.7,0,High
83,32,6,4.6,0,High
44,55,2,5.8,0,High
78,86,8,5.3,1,Low
43,53,8,1.2,0,High
45,82,3,2.4,0,High
84,99,8,1.9,1,Low
71,72,9,1.5,1,Medium
91,89,5,3.5,1,Low
69,87,5,3.5,0,Medium
86,78,6,1.7,1,Low
74,71,7,4.4,1,Medium
94,95,3,4.5,0,Low
79,40,5,0.6,0,High
91,47,1,2.7,0,High
55,81,5,5.4,0,High
52,75,4,3.4,0,High
89,73,1,2.4,0,High
99,51,7,1.9,0,Medium
81,82,1,1.8,0,High
69,88,8,1.0,0,Medium
58,59,2,5.0,0,High
56,37,5,1.0,0,High
95,86,6,2.1,1,Low
58,49,9,0.8,0,High
67,54,7,4.8,0,Medium
97,48,6,0.7,0,Medium
94,34,5,2.2,0,High
65,56,6,3.7,0,Medium
76,69,4,2.8,1,Low
65,55,1,2.1,0,High
92,56,9,2.0,1,Medium
62,91,5,4.9,0,Medium
48,79,8,5.9,0,High
51,71,7,2.4,0,High
92,58,8,0.7,1,Medium
40,68,1,0.7,0,High
97,89,9,4.7,1,Low
97,70,1,3.5,0,High
40,62,3,4.8,0,High
86,45,8,4.3,0,Medium
73,52,1,5.5,0,High
71,36,1,5.4,0,High
93,55,6,4.8,1,Medium
87,41,5,3.1,0,High
64,34,6,2.2,0,High
79,98,3,3.3,0,Low
84,78,6,3.3,1,Low
92,55,2,3.9,0,High
40,34,8,1.5,0,High
55,51,6,4.1,0,High
78,42,4,3.0,0,High
44,57,4,3.9,0,High
61,62,7,1.8,0,Medium
68,52,3,2.9,0,Medium
94,47,3,1.7,0,Medium
42,59,6,5.3,0,High
51,55,9,3.2,0,High
65,45,1,1.7,0,High
55,68,5,0.7,0,High
90,62,1,4.2,0,High
76,55,1,1.7,0,High
61,77,3,5.9,0,Medium
96,94,3,3.4,0,Low
68,67,4,2.1,0,Medium
53,31,3,4.1,0,High
67,35,6,2.0,0,High
44,75,4,5.0,0,High
86,79,8,2.2,1,Low
88,67,1,5.9,0,High
69,47,8,3.8,0,Medium
85,56,1,5.1,0,High
91,70,1,0.9,0,High
44,46,7,2.4,0,High
51,91,1,4.6,0,High
55,58,9,4.1,0,High
65,87,8,1.6,0,Medium
65,99,1,2.5,0,High
87,51,2,1.9,0,High
60,35,2,3.9,0,High
78,55,2,2.4,0,High
75,68,6,2.2,1,Low
72,41,4,1.6,0,High
69,43,8,2.7,0,High
76,51,1,1.6,0,High
62,80,4,5.8,0,Medium
97,52,5,1.3,0,Medium
49,77,9,5.5,0,High
93,79,5,2.9,1,Low
44,42,3,2.6,0,High
75,39,4,1.8,0,High
73,84,7,4.0,1,Medium
91,38,1,4.3,0,High
70,81,6,3.1,1,Medium
49,31,8,0.8,0,High
97,54,1,5.6,0,High
58,42,8,5.9,0,High
97,80,7,2.9,1,Low
71,87,1,3.9,0,High
40,63,9,3.0,0,High
95,64,3,2.3,0,Low
44,32,2,0.9,0,High
84,88,7,3.0,1,Low
43,99,3,5.0,0,High
55,77,1,0.6,0,High
63,93,3,3.7,0,Medium
55,48,6,5.3,0,High
94,96,3,1.7,0,Low
41,34,5,1.5,0,High
88,96,9,4.7,1,Low
67,40,7,1.9,0,High
71,97,2,1.6,0,High
66,98,1,2.6,0,High
59,30,7,2.7,0,High
63,92,4,5.3,0,Medium
51,58,7,3.9,0,High
89,41,6,2.7,0,High
74,70,7,3.4,1,Medium
99,31,4,5.7,0,High
72,66,3,1.1,0,Medium
72,74,5,1.6,1,Medium
90,77,3,5.8,0,Low
82,53,3,5.8,0,Medium
76,51,4,1.5,0,Medium
51,40,8,1.3,0,High
42,87,2,2.8,0,High
40,75,4,0.8,0,High
72,58,3,4.1,0,Medium
79,64,7,0.9,1,Low
49,44,2,0.8,0,High
82,89,1,3.2,0,High
83,71,1,5.8,0,High
68,72,6,2.8,0,Medium
52,78,3,2.5,0,High
51,93,7,6.0,0,High
70,61,8,3.4,1,Medium
85,93,5,2.6,1,Low
41,31,5,2.6,0,High
90,53,2,1.6,0,High
89,95,8,3.3,1,Low
74,67,1,2.9,0,High
62,60,9,2.0,0,Medium
56,55,1,1.4,0,High
65,58,1,2.2,0,High
47,96,1,3.3,0,High
68,54,7,0.8,0,Medium
65,77,4,1.3,0,Medium
49,94,7,5.7,0,High
65,82,5,3.5,0,Medium
73,96,7,0.8,1,Medium
90,47,7,4.3,0,Medium
80,38,4,0.8,0,High
46,67,2,4.6,0,High
43,50,8,4.6,0,High
97,94,2,4.1,0,High
92,50,9,4.5,0,Medium
89,56,5,1.0,1,Medium
84,99,9,4.5,1,Low
50,73,9,1.3,0,High
68,57,8,2.4,0,Medium
95,74,8,5.7,1,Low
75,46,4,3.3,0,Medium
64,69,4,5.8,0,Medium
60,32,2,1.0,0,High
96,95,4,3.1,1,Low
75,75,4,0.8,1,Low
49,59,6,4.0,0,High
76,98,3,0.9,0,Low
48,38,2,1.5,0,High
63,40,8,1.9,0,High
74,98,2,4.6,0,High
88,95,8,1.4,1,Low
74,60,7,5.2,1,Medium
87,62,3,1.2,0,Low
75,68,6,0.7,1,Low
57,75,6,2.7,0,High
88,66,5,5.9,1,Low
78,89,8,1.1,1,Low
71,60,5,1.1,1,Medium
63,40,7,4.6,0,High
62,31,6,2.2,0,High
71,56,7,4.4,1,Medium
76,31,9,1.6,0,High
51,50,3,3.0,0,High
88,87,7,2.0,1,Low
94,34,3,3.0,0,High
52,81,2,4.7,0,High
62,74,7,4.7,0,Medium
64,49,4,3.3,0,Medium
74,90,1,5.6,0,High
80,67,6,2.0,1,Low
69,49,6,1.8,0,Medium
56,54,6,3.9,0,High
88,31,2,3.9,0,High
59,61,1,0.8,0,High
87,55,3,3.8,0,Medium
64,99,2,2.6,0,High
61,70,6,4.6,0,Medium
52,96,6,4.9,0,High
98,30,5,3.5,0,High
58,80,5,0.5,0,High
88,34,9,4.0,0,High
75,42,5,4.6,0,High
51,48,6,1.9,0,High
80,41,4,3.1,0,High
58,77,1,5.8,0,High
51,54,4,2.1,0,High
48,86,2,1.7,0,High
46,64,3,1.7,0,High
67,34,7,3.6,0,High
53,51,7,5.7,0,High
70,86,1,3.8,0,High
91,76,8,2.2,1,Low
58,83,7,4.0,0,High
97,32,1,3.9,0,High
86,82,8,3.8,1,Low
55,60,2,1.4,0,High
92,98,8,4.0,1,Low
44,62,3,2.9,0,High
74,79,7,0.6,1,Medium
51,45,6,3.5,0,High
64,68,5,5.9,0,Medium
91,75,2,2.4,0,High
98,76,2,5.8,0,High
60,73,1,1.0,0,High
75,38,9,4.5,0,High
92,79,8,1.1,1,Low
62,89,8,2.0,0,Medium
55,44,1,3.6,0,High
96,65,5,3.8,1,Low
78,92,6,4.8,1,Low
84,98,2,3.9,0,High
92,70,5,3.8,1,Low
81,53,6,5.5,0,Medium
97,78,9,3.0,1,Low
78,47,1,1.7,0,High
53,36,3,1.4,0,High
70,33,9,2.7,0,High
97,98,1,4.4,0,High
44,89,1,0.7,0,High
74,84,1,1.2,0,High
62,45,7,1.1,0,Medium
68,58,5,3.7,0,Medium
82,52,6,1.8,0,Medium
50,43,8,1.4,0,High
57,78,2,3.8,0,High
86,62,2,4.7,0,High
51,54,3,2.3,0,High
48,50,3,3.7,0,High
49,46,3,1.0,0,High
97,52,4,5.6,0,Medium
83,86,3,2.4,0,Low
56,87,2,6.0,0,High
77,43,9,5.9,0,High
46,49,6,4.8,0,High
85,59,3,0.6,0,Medium
52,48,9,3.5,0,High
79,82,4,1.0,1,Low
81,85,4,5.4,1,Low
48,52,8,4.8,0,High
89,91,7,5.8,1,Low
66,62,7,3.8,0,Medium
97,47,7,3.4,0,Medium
41,62,5,3.4,0,High
44,61,7,2.6,0,High
68,90,4,3.1,0,Medium
76,83,8,4.0,1,Low
77,46,9,5.6,0,Medium
58,48,3,3.8,0,High
47,99,7,5.2,0,High
87,63,9,5.2,1,Low
84,54,1,3.4,0,High
40,97,2,2.4,0,High
61,40,7,4.0,0,High
91,45,2,3.0,0,High
56,90,7,0.9,0,High
46,36,1,2.6,0,High
64,45,3,6.0,0,Medium
84,45,5,0.8,0,Medium
43,69,6,4.3,0,High
75,41,9,5.1,0,High
45,64,9,4.1,0,High
99,50,3,3.6,0,Medium
70,79,8,4.4,1,Medium
58,72,4,2.9,0,High
83,46,7,1.0,0,Medium
93,61,6,5.8,1,Low
78,70,8,2.9,1,Low
66,35,6,4.2,0,High
49,56,4,3.4,0,High
65,49,2,0.8,0,High
58,54,7,5.7,0,High
78,95,4,4.9,1,Low
42,38,9,1.3,0,High
84,82,9,5.9,1,Low
52,90,7,4.6,0,High
89,67,5,3.1,1,Low
67,32,3,3.9,0,High
97,99,3,1.1,0,Low
59,84,9,3.6,0,High
67,30,9,0.9,0,High
47,99,4,3.5,0,High
80,74,1,3.5,0,High
78,76,5,5.3,1,Low
40,55,8,4.5,0,High
42,43,4,1.9,0,High
52,83,4,5.4,0,High
67,75,9,3.7,0,Medium
96,60,9,3.8,1,Low
99,88,7,1.4,1,Low
88,58,8,5.2,1,Medium
64,46,4,5.6,0,Medium
95,43,8,4.8,0,High
72,65,6,5.7,1,Medium
77,87,3,2.2,0,Low
92,53,7,5.2,0,Medium
45,92,3,3.2,0,High
97,54,7,1.4,0,Medium
83,88,5,4.2,1,Low
84,61,4,4.3,1,Low
71,47,3,2.1,0,Medium
84,66,8,0.7,1,Low
86,55,4,1.6,1,Medium
60,38,8,2.7,0,High
55,93,3,1.4,0,High
93,49,9,1.6,0,Medium
60,83,6,2.7,0,Medium
50,59,5,5.8,0,High
99,82,5,4.7,1,Low
76,92,3,2.3,0,Low
75,40,2,5.7,0,High
74,60,6,4.1,1,Medium
58,78,1,3.0,0,High
59,48,7,3.1,0,High
96,41,5,2.8,0,High
57,44,4,1.8,0,High
86,60,9,2.6,1,Low
80,72,1,3.4,0,High
88,66,4,3.4,1,Low
53,58,3,4.7,0,High
54,55,6,2.5,0,High
70,31,5,4.4,0,High
40,44,7,3.7,0,High
92,33,1,5.8,0,High
93,79,5,2.6,1,Low
93,67,2,5.5,0,High
42,52,2,5.0,0,High
55,88,2,4.0,0,High
62,57,9,4.1,0,Medium
96,95,3,1.0,0,Low
50,37,4,5.7,0,High
51,58,5,1.1,0,High
49,40,4,3.6,0,High
71,47,4,2.3,0,Medium
55,84,5,2.9,0,High
47,79,9,3.9,0,High
77,43,9,5.5,0,High
51,38,6,3.0,0,High
63,40,3,5.9,0,High
67,92,6,3.8,0,Medium
92,96,4,1.4,1,Low
47,82,3,1.5,0,High
97,68,6,4.4,1,Low
67,85,6,0.8,0,Medium
75,57,2,3.1,0,High
65,68,9,1.3,0,Medium
47,54,8,2.9,0,High
97,50,6,4.6,0,Medium
99,39,1,3.0,0,High
89,72,2,1.4,0,High
67,44,4,1.9,0,High
67,77,7,2.5,0,Medium
76,50,9,0.9,0,Medium
80,89,5,3.7,1,Low
75,79,2,3.8,0,High
66,52,1,0.8,0,High
93,42,1,2.7,0,High
56,98,5,2.8,0,High
48,33,7,2.3,0,High
72,38,9,3.6,0,High
92,64,9,2.4,1,Low
59,50,8,2.8,0,High
52,87,1,4.9,0,High
67,47,5,1.4,0,Medium
87,72,6,3.9,1,Low
68,35,6,3.3,0,High
52,96,4,2.2,0,High
85,41,1,4.5,0,High
74,41,3,3.5,0,High
45,95,4,3.1,0,High
57,31,4,4.2,0,High
90,44,4,4.9,0,High
44,52,5,5.8,0,High
86,58,9,4.0,1,Medium
64,36,4,5.3,0,High
41,57,9,0.5,0,High
49,43,9,3.4,0,High
95,73,1,1.7,0,High
69,59,5,1.0,0,Medium
89,61,9,3.4,1,Low
98,99,4,4.6,1,Low
84,35,5,2.8,0,High
44,56,4,4.2,0,High
94,53,2,3.2,0,High
95,63,2,2.9,0,High
72,69,2,2.1,0,High
93,76,1,2.6,0,High
40,53,3,2.4,0,High
57,94,1,4.1,0,High
71,47,4,1.1,0,Medium
